Name,Date,Location,Tags,Who?
3 weeks to Design Festival!,16/06/2025 → 20/06/2025,,-,
2 Weeks to Design Festival!,23/06/2025 → 27/06/2025,,-,
1 day to Design Festival!,30/06/2025,,-,
Festival Opening (feat. Shiao-Yin & DCE Sau Sheong),01/07/2025 10:30 AM (GMT+8) → 11:30 AM,MBC 10 - Level 10 (The Big Place),"Get Swag, In-Person, ✳️ Keynote, 🎙️ Talk",
Design Arcade (Lunch Provided!),01/07/2025 11:30 AM (GMT+8),,"Got Food! 🌮, In-Person",
Measuring design value with a numbers prototype,02/07/2025 12:00 PM (GMT+8) → 1:00 PM,,"🎙️ Talk, 💻 Online, 🔨 Build Craft",
Fireside chat: Why isn’t empathy enough?,03/07/2025 11:30 AM (GMT+8),MBC 10 - Level 10 (The Big Place),"In-Person, ✳️ Keynote, 🎙️ Talk",
Scrappy not crappy: Quick shortcuts to deliver a good product,03/07/2025 12:00 PM (GMT+8),,"🎙️ Talk, 💻 Online, 🔨 Build Craft",Tara Hirebet
UX Growing Pains: Designing in Different Worlds,03/07/2025 1:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk1pm,"🌱 Build Self, 🎙️ Talk, 💻 Online, 🔨 Build Craft",Tasha Yip
Prototyping with AI and moderated concept testing,04/07/2025 9:00 AM (GMT+8),MBC 30 L11 Jupiter Rooms 1+2,"Course 📚, In-Person, 🔨 Build Craft",Rex / Ruby Pryor
The Space Between,04/07/2025 1:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk1pm,"🌱 Build Self, 🎙️ Talk, 💻 Online",Samuel Lim
Ctrl + Alt + Design Workshop,04/07/2025 2:00 PM (GMT+8),MBC 10 L10 The Big Place,"In-Person, Workshop ⚒️",Design Festival Team
Fireside Chat with 2PS and Lillian Shieh,07/07/2025 11:30 AM (GMT+8),MBC 10 L10 The Big Place,"In-Person, ✳️ Keynote, 🎙️ Talk",2PS Augustin and Lillian Shieh
From Insights to Action: Driving Impact,07/07/2025 12:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk12pm,"12 PM, ✳️ Keynote, 🌱 Build Self, 🎙️ Talk, 💻 Online, 🔨 Build Craft",Ruby Pryor
Theming with design tokens: Flagship Design System,07/07/2025 1:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk1pm,"1 PM, 🎙️ Talk, 💻 Online, 🔨 Build Craft",Vivienne Chong
Data Storytelling,08/07/2025 9:30 AM (GMT+8),MBC 30 Jupiter Rooms 1+2,"Course 📚, In-Person, 🔨 Build Craft",Kontinentalist
Driving Product Strategy Through Research: From Paper Forms to Product Roadmap,08/07/2025 1:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk1pm,"1 PM, 🎙️ Talk, 💻 Online, 🔨 Build Craft",Alicia Chong
Just Trying My Best: A Designer’s Journey into Accessibility,09/07/2025 12:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk12pm,"12 PM, 🌱 Build Self, 🎙️ Talk, 💻 Online",Liting Kway
Creating a digital engagement platform for the ONE Changi Community,10/07/2025 12:00 PM (GMT+8),📍SG-Teams: https://go.gov.sg/designfestival-talk12pm,"12 PM, 🎙️ Talk, 💻 Online, 🔨 Build Craft",Brandon Tan
